id,key,value,type
7673842,reviewed,no,tiger
7674019,access,private,regular
7674019,highway,service,regular
7674019,cfcc,A74,tiger
7674019,tlid,188720111:188720112:188720108,tiger
7674019,county,"Weld, CO",tiger
7674019,source,tiger_import_dch_v0.6_20070809,tiger
7674019,reviewed,no,tiger
7674019,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7674176,access,private,regular
7674176,highway,service,regular
7674176,cfcc,A74,tiger
7674176,tlid,188666092,tiger
7674176,county,"Weld, CO",tiger
7674176,source,tiger_import_dch_v0.6_20070809,tiger
7674176,reviewed,no,tiger
7674176,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7674318,access,private,regular
7674318,highway,service,regular
7674318,cfcc,A74,tiger
7674318,tlid,188708782,tiger
7674318,county,"Weld, CO",tiger
7674318,source,tiger_import_dch_v0.6_20070809,tiger
7674318,reviewed,no,tiger
7674318,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7674410,access,private,regular
7674410,highway,service,regular
7674410,cfcc,A74,tiger
7674410,tlid,188738177:188738178,tiger
7674410,county,"Weld, CO",tiger
7674410,source,tiger_import_dch_v0.6_20070809,tiger
7674410,reviewed,no,tiger
7674410,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7674479,highway,residential,regular
7674479,cfcc,A41,tiger
7674479,tlid,188742448:188742449,tiger
7674479,county,"Weld, CO",tiger
7674479,source,tiger_import_dch_v0.6_20070809,tiger
7674479,reviewed,no,tiger
7674479,separated,no,tiger
7674479,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7674519,highway,residential,regular
7674519,cfcc,A41,tiger
7674519,tlid,188663178,tiger
7674519,county,"Weld, CO",tiger
7674519,source,tiger_import_dch_v0.6_20070809,tiger
7674519,reviewed,no,tiger
7674519,separated,no,tiger
7674519,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7674681,access,private,regular
7674681,oneway,no,regular
7674681,highway,service,regular
7674681,service,driveway,regular
7674681,cfcc,A74,tiger
7674681,county,"Weld, CO",tiger
7674681,reviewed,no,tiger
7674792,power,line,regular
7674792,cfcc,C20,tiger
7674792,county,"Weld, CO",tiger
7674792,reviewed,no,tiger
7674928,ref,CR 49,regular
7674928,name,County Rd 49,regular
7674928,lanes,4,regular
7674928,oneway,no,regular
7674928,highway,secondary,regular
7674928,surface,paved,regular
7674928,cfcc,A41,tiger
7674928,county,"Weld, CO",tiger
7674928,reviewed,no,tiger
7675044,access,private,regular
7675044,highway,service,regular
7675044,cfcc,A74,tiger
7675044,county,"Weld, CO",tiger
7675044,reviewed,no,tiger
7675150,highway,residential,regular
7675150,cfcc,A41,tiger
7675150,county,"Weld, CO",tiger
7675150,reviewed,no,tiger
7675210,highway,residential,regular
7675210,cfcc,A41,tiger
7675210,tlid,188742408:188739631,tiger
7675210,county,"Weld, CO",tiger
7675210,source,tiger_import_dch_v0.6_20070809,tiger
7675210,reviewed,no,tiger
7675210,separated,no,tiger
7675210,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7675319,highway,residential,regular
7675319,cfcc,A41,tiger
7675319,tlid,188670305:188670312:188670716,tiger
7675319,county,"Weld, CO",tiger
7675319,source,tiger_import_dch_v0.6_20070809,tiger
7675319,reviewed,no,tiger
7675319,separated,no,tiger
7675319,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7675399,access,private,regular
7675399,highway,service,regular
7675399,cfcc,A74,tiger
7675399,tlid,188708124:188748735:188748736,tiger
7675399,county,"Weld, CO",tiger
7675399,source,tiger_import_dch_v0.6_20070809,tiger
7675399,reviewed,no,tiger
7675399,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7675474,access,private,regular
7675474,highway,service,regular
7675474,cfcc,A74,tiger
7675474,tlid,188720167,tiger
7675474,county,"Weld, CO",tiger
7675474,source,tiger_import_dch_v0.6_20070809,tiger
7675474,reviewed,no,tiger
7675474,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7675579,highway,residential,regular
7675579,cfcc,A41,tiger
7675579,tlid,188743628,tiger
7675579,county,"Weld, CO",tiger
7675579,source,tiger_import_dch_v0.6_20070809,tiger
7675579,reviewed,no,tiger
7675579,separated,no,tiger
7675579,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7675628,highway,residential,regular
7675628,cfcc,A41,tiger
7675628,tlid,188724057:188724059,tiger
7675628,county,"Weld, CO",tiger
7675628,source,tiger_import_dch_v0.6_20070809,tiger
7675628,reviewed,no,tiger
7675628,separated,no,tiger
7675628,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7675720,access,private,regular
7675720,highway,service,regular
